layers,from,to,weight
l3GF_l4ORP,Environmental hazard regulation,Undertake research,1
l3GF_l4ORP,Financial services,Act as access point to cash,1
l3GF_l4ORP,Financial services,Administrate banking operations,1
l3GF_l4ORP,Financial services,Administrate benefits,1
l3GF_l4ORP,Financial services,Administrate community grants,1
l3GF_l4ORP,Financial services,Administrate taxes,1
l3GF_l4ORP,Financial services,Provide financial services,1
l3GF_l4ORP,Financial services,Provide insurance,1
l3GF_l4ORP,Financial services,Transmit money,1
l3GF_l4ORP,Food provision,Act as access point for food,1
l3GF_l4ORP,Food provision,Administrate large-scale transport of goods or people,1
l3GF_l4ORP,Food provision,Administrate retail activity,1
l3GF_l4ORP,Food provision,Enforce food standards,1
l3GF_l4ORP,Food provision,Grow food,1
l3GF_l4ORP,Food provision,Manage pests,1
l3GF_l4ORP,Food provision,Manufacture consumer staples,1
l3GF_l4ORP,Food provision,Manufacture materials,1
l3GF_l4ORP,Food provision,Provide qualification services,1
l3GF_l4ORP,Food provision,Provide staple goods,1
l3GF_l4ORP,Food provision,"Sells coffee, tea, other non-alcoholic drinks",1
l3GF_l4ORP,Food provision,Stores wholesale goods,1
l3GF_l4ORP,Food provision,Support excess water storage,1
l3GF_l4ORP,Food provision,Support microclimate regulation,1
l3GF_l4ORP,Food provision,Support nutrient cycles,1
l3GF_l4ORP,Food provision,Support species habitat,1
l3GF_l4ORP,Foster social cohesion,Act as community meeting space,1
l3GF_l4ORP,Foster social cohesion,Act as place of historical or cultural importance,1
l3GF_l4ORP,Foster social cohesion,Act as point of contact for public to raise social and civic issues,1
l3GF_l4ORP,Foster social cohesion,Administrate community grants,1
l3GF_l4ORP,Foster social cohesion,Administrate provision of temporary accommodation,1
l3GF_l4ORP,Foster social cohesion,Advise carers,1
l3GF_l4ORP,Foster social cohesion,Advise on community activities,1
l3GF_l4ORP,Foster social cohesion,Design buildings and urban spaces,1
l3GF_l4ORP,Foster social cohesion,Facilitate creative expression,1
l3GF_l4ORP,Foster social cohesion,Facilitate cultural events,1
l3GF_l4ORP,Foster social cohesion,Facilitate leisure or recreation,1
l3GF_l4ORP,Foster social cohesion,Monitor neighbourhood,1
l3GF_l4ORP,Foster social cohesion,Provide a psychological sense of home,1
l3GF_l4ORP,Foster social cohesion,Provide aesthetic value,1
l3GF_l4ORP,Foster social cohesion,Provide assisted living,1
l3GF_l4ORP,Foster social cohesion,Provide older childcare,1
l3GF_l4ORP,Foster social cohesion,Provide other discretionary services,1
l3GF_l4ORP,Foster social cohesion,Provide place of worship,1
l3GF_l4ORP,Foster social cohesion,Provide public communications service,1
l3GF_l4ORP,Foster social cohesion,Provide recreational learning,1
l3GF_l4ORP,Foster social cohesion,Provide social support,1
l3GF_l4ORP,Foster social cohesion,Provide street care and cleaning,1
l3GF_l4ORP,Foster social cohesion,Provide younger childcare,1
l3GF_l4ORP,Foster social cohesion,Support mental health and wellbeing,1
l3GF_l4ORP,Foster social cohesion,Support physical health and fitness,1
l3GF_l4ORP,Goods and services provision,Act as access point for food,1
l3GF_l4ORP,Goods and services provision,Administrate large-scale transport of goods or people,1
l3GF_l4ORP,Goods and services provision,Administrate retail activity,1
l3GF_l4ORP,Goods and services provision,Charges electric vehicles,1
l3GF_l4ORP,Goods and services provision,Connect buildings to services,1
l3GF_l4ORP,Goods and services provision,Construct buildings,1
l3GF_l4ORP,Goods and services provision,Coordinate construction work,1
l3GF_l4ORP,Goods and services provision,Design buildings and urban spaces,1
l3GF_l4ORP,Goods and services provision,Dispense medicines,1
l3GF_l4ORP,Goods and services provision,Facilitate registrar services,1
l3GF_l4ORP,Goods and services provision,Grow food,1
l3GF_l4ORP,Goods and services provision,Maintain clothing,1
l3GF_l4ORP,Goods and services provision,Maintain vehicles,1
l3GF_l4ORP,Goods and services provision,Manage pests,1
l3GF_l4ORP,Goods and services provision,Manage property,1
l3GF_l4ORP,Goods and services provision,Manufacture consumer discretionary,1
l3GF_l4ORP,Goods and services provision,Manufacture consumer staples,1
l3GF_l4ORP,Goods and services provision,Manufacture gas and oil equipment and supplies,1
l3GF_l4ORP,Goods and services provision,Manufacture healthcare equipment and supplies,1
l3GF_l4ORP,Goods and services provision,Manufacture industrial equipment and supplies,1
l3GF_l4ORP,Goods and services provision,Manufacture materials,1
l3GF_l4ORP,Goods and services provision,Manufacture telecommunication equipment and supplies,1
l3GF_l4ORP,Goods and services provision,Provide alternative healthcare services,1
l3GF_l4ORP,Goods and services provision,Provide animal healthcare,1
l3GF_l4ORP,Goods and services provision,Provide assisted living,1
l3GF_l4ORP,Goods and services provision,Provide death-care services,1
l3GF_l4ORP,Goods and services provision,Provide dental healthcare services,1
l3GF_l4ORP,Goods and services provision,Provide discretionary goods,1
l3GF_l4ORP,Goods and services provision,Provide insurance,1
l3GF_l4ORP,Goods and services provision,Provide interior trades,1
l3GF_l4ORP,Goods and services provision,Provide IT services,1
l3GF_l4ORP,Goods and services provision,Provide legal advice,1
l3GF_l4ORP,Goods and services provision,Provide marketing and media services,1
l3GF_l4ORP,Goods and services provision,Provide older childcare,1
l3GF_l4ORP,Goods and services provision,Provide other discretionary services,1
l3GF_l4ORP,Goods and services provision,Provide physiotherapy services,1
l3GF_l4ORP,Goods and services provision,Provide public communications service,1
l3GF_l4ORP,Goods and services provision,Provide qualification services,1
l3GF_l4ORP,Goods and services provision,Provide recreational learning,1
l3GF_l4ORP,Goods and services provision,Provide removal and storage services,1
l3GF_l4ORP,Goods and services provision,Provide staple goods,1
l3GF_l4ORP,Goods and services provision,Provide supported learning,1
l3GF_l4ORP,Goods and services provision,Provide younger childcare,1
l3GF_l4ORP,Goods and services provision,Rent vehicles,1
l3GF_l4ORP,Goods and services provision,"Sells coffee, tea, other non-alcoholic drinks",1
l3GF_l4ORP,Goods and services provision,Sort and organise delivery of goods,1
l3GF_l4ORP,Goods and services provision,Store vehicles,1
l3GF_l4ORP,Goods and services provision,Stores wholesale goods,1
l3GF_l4ORP,Goods and services provision,Support access to employment,1
l3GF_l4ORP,Goods and services provision,Survey buildings,1
l3GF_l4ORP,Governance,Accommodates prisoners,1
l3GF_l4ORP,Governance,Act as point of contact for public to raise social and civic issues,1
l3GF_l4ORP,Governance,Act as training grounds for armed forces exercise,1
l3GF_l4ORP,Governance,Administrate armed forces operations,1
l3GF_l4ORP,Governance,Administrate banking operations,1
l3GF_l4ORP,Governance,Administrate benefits,1
l3GF_l4ORP,Governance,Administrate community grants,1
l3GF_l4ORP,Governance,Administrate diplomacy,1
l3GF_l4ORP,Governance,Administrate educational facilities,1
l3GF_l4ORP,Governance,Administrate emergency services,1
l3GF_l4ORP,Governance,Administrate healthcare services,1
l3GF_l4ORP,Governance,Administrate political campaigns,1
l3GF_l4ORP,Governance,Administrate political duties,1
l3GF_l4ORP,Governance,Administrate provision of temporary accommodation,1
l3GF_l4ORP,Governance,Administrate taxes,1
l3GF_l4ORP,Governance,Administrate waste and recycling,1
l3GF_l4ORP,Governance,Advise carers,1
l3GF_l4ORP,Governance,Advise on employment issues,1
l3GF_l4ORP,Governance,Advise or set government policy,1
l3GF_l4ORP,Governance,Animal rescue,1
l3GF_l4ORP,Governance,Criminal investigation,1
l3GF_l4ORP,Governance,Enforce building standards,1
l3GF_l4ORP,Governance,Enforce environmental standards,1
l3GF_l4ORP,Governance,Enforce food standards,1
l3GF_l4ORP,Governance,Facilitate registrar services,1
l3GF_l4ORP,Governance,Maintain roads,1
l3GF_l4ORP,Governance,Manage property,1
l3GF_l4ORP,Governance,Monitor environment,1
l3GF_l4ORP,Governance,Provide access to planning resources and services,1
l3GF_l4ORP,Governance,Provide public communications service,1
l3GF_l4ORP,Governance,Provide retributive justice and criminal deterrence,1
l3GF_l4ORP,Governance,Provide social support,1
l3GF_l4ORP,Governance,Provide street care and cleaning,1
l3GF_l4ORP,Governance,Provide street lighting,1
l3GF_l4ORP,Governance,Respond to emergencies,1
l3GF_l4ORP,Governance,Support access to employment,1
l3GF_l4ORP,Governance,Undertake legal proceedings,1
l3GF_l4ORP,Governance,Undertake research,1
l3GF_l4ORP,Historical and cultural value contribution,Act as community meeting space,1
l3GF_l4ORP,Historical and cultural value contribution,Act as place of historical or cultural importance,1
l3GF_l4ORP,Historical and cultural value contribution,Administrate community grants,1
l3GF_l4ORP,Historical and cultural value contribution,Administrate political campaigns,1
l3GF_l4ORP,Historical and cultural value contribution,Advise on community activities,1
l3GF_l4ORP,Historical and cultural value contribution,Design buildings and urban spaces,1
l3GF_l4ORP,Historical and cultural value contribution,Display items of significance,1
l3GF_l4ORP,Historical and cultural value contribution,Facilitate creative expression,1
l3GF_l4ORP,Historical and cultural value contribution,Facilitate cultural events,1
l3GF_l4ORP,Historical and cultural value contribution,Facilitate leisure or recreation,1
l3GF_l4ORP,Historical and cultural value contribution,Provide aesthetic value,1
l3GF_l4ORP,Historical and cultural value contribution,Provide other discretionary services,1
l3GF_l4ORP,Historical and cultural value contribution,Provide recreational learning,1
l3GF_l4ORP,Housing provision,Accommodates prisoners,1
l3GF_l4ORP,Housing provision,Act as access point for electricity,1
l3GF_l4ORP,Housing provision,Act as access point for potable water,1
l3GF_l4ORP,Housing provision,Act as access point for sanitation,1
l3GF_l4ORP,Housing provision,Act as access point for waste and recycling,1
l3GF_l4ORP,Housing provision,Administrate benefits,1
l3GF_l4ORP,Housing provision,Administrate provision of temporary accommodation,1
l3GF_l4ORP,Housing provision,Connect buildings to services,1
l3GF_l4ORP,Housing provision,Construct buildings,1
l3GF_l4ORP,Housing provision,Coordinate construction work,1
l3GF_l4ORP,Housing provision,Design buildings and urban spaces,1
l3GF_l4ORP,Housing provision,Enforce building standards,1
l3GF_l4ORP,Housing provision,Manage property,1
l3GF_l4ORP,Housing provision,Manufacture materials,1
l3GF_l4ORP,Housing provision,Provide a psychological sense of home,1
l3GF_l4ORP,Housing provision,Provide access to planning resources and services,1
l3GF_l4ORP,Housing provision,Provide assisted living,1
l3GF_l4ORP,Housing provision,Provide financial services,1
l3GF_l4ORP,Housing provision,Provide insurance,1
l3GF_l4ORP,Housing provision,Provide interior trades,1
l3GF_l4ORP,Housing provision,Provide qualification services,1
l3GF_l4ORP,Housing provision,Stores wholesale goods,1
l3GF_l4ORP,Housing provision,Survey buildings,1
l3GF_l4ORP,Law and order,Accommodates prisoners,1
l3GF_l4ORP,Law and order,Act as point of contact for public to raise social and civic issues,1
l3GF_l4ORP,Law and order,Act as training grounds for armed forces exercise,1
l3GF_l4ORP,Law and order,Administrate armed forces operations,1
l3GF_l4ORP,Law and order,Administrate diplomacy,1
l3GF_l4ORP,Law and order,Administrate emergency services,1
l3GF_l4ORP,Law and order,Administrate political duties,1
l3GF_l4ORP,Law and order,Administrate taxes,1
l3GF_l4ORP,Law and order,Criminal investigation,1
l3GF_l4ORP,Law and order,Enforce building standards,1
l3GF_l4ORP,Law and order,Enforce environmental standards,1
l3GF_l4ORP,Law and order,Enforce food standards,1
l3GF_l4ORP,Law and order,Monitor neighbourhood,1
l3GF_l4ORP,Law and order,Provide legal advice,1
l3GF_l4ORP,Law and order,Provide qualification services,1
l3GF_l4ORP,Law and order,Provide rehabilitation services,1
l3GF_l4ORP,Law and order,Provide retributive justice and criminal deterrence,1
l3GF_l4ORP,Law and order,Provide street lighting,1
l3GF_l4ORP,Law and order,Respond to emergencies,1
l3GF_l4ORP,Law and order,Secure place to keep your possessions,1
l3GF_l4ORP,Law and order,Undertake legal proceedings,1
l3GF_l4ORP,Learning and education,Act as place of historical or cultural importance,1
l3GF_l4ORP,Learning and education,Administrate educational facilities,1
l3GF_l4ORP,Learning and education,Administrate taxes,1
l3GF_l4ORP,Learning and education,Display items of significance,1
l3GF_l4ORP,Learning and education,Facilitate creative expression,1
l3GF_l4ORP,Learning and education,Facilitate cultural events,1
l3GF_l4ORP,Learning and education,Provide education services,1
l3GF_l4ORP,Learning and education,Provide qualification services,1
l3GF_l4ORP,Learning and education,Provide recreational learning,1
l3GF_l4ORP,Learning and education,Provide supported learning,1
l3GF_l4ORP,Learning and education,Screens media,1
l3GF_l4ORP,Learning and education,Undertake research,1
l3GF_l4ORP,Observance of religion,Provide death-care services,1
l3GF_l4ORP,Observance of religion,Provide place of worship,1
l3GF_l4ORP,Physical security,Administrate provision of temporary accommodation,1
l3GF_l4ORP,Physical security,Allow road crossing,1
l3GF_l4ORP,Physical security,Calms traffic,1
l3GF_l4ORP,Physical security,Criminal investigation,1
l3GF_l4ORP,Physical security,Enforce building standards,1
l3GF_l4ORP,Physical security,Manage property,1
l3GF_l4ORP,Physical security,Monitor neighbourhood,1
l3GF_l4ORP,Physical security,Provide a psychological sense of home,1
l3GF_l4ORP,Physical security,Provide assisted living,1
l3GF_l4ORP,Physical security,Provide barrier to movement,1
l3GF_l4ORP,Physical security,Provide flood barrier,1
l3GF_l4ORP,Physical security,Provide insurance,1
l3GF_l4ORP,Physical security,Provide retributive justice and criminal deterrence,1
l3GF_l4ORP,Physical security,Provide social support,1
l3GF_l4ORP,Physical security,Provide street lighting,1
l3GF_l4ORP,Physical security,Provide temporary shelter,1
l3GF_l4ORP,Physical security,Respond to emergencies,1
l3GF_l4ORP,Physical security,Secure place to keep your possessions,1
l3GF_l4ORP,Physical security,Support mental health and wellbeing,1
l3GF_l4ORP,Physical security,Survey buildings,1
